"年","リーグ","シーズン","球団id","名前","選手id","投","試合","完投","完了","当初","補回","無点","勝利","無四球","先発","リリーフ","勝利","敗北","引分","セーブ","ＳＰ","ホールド","ＨＰ","勝率","打者","打数","投球回","安打","本塁打","犠打","犠飛","四球計","故意","四球","死球","三振","暴投","ボーク","失点","自責点","防御率","妨害出塁","アウト"
"1936","1L","all","07","平川　喜代美","16108","R","3","0","1","1","0","0","0","1","2","0","1","0","NA","NA","NA","NA","0.000","44","36","8.33","11","0","0","0","8","0","0","2","0","0","9","8","9.00","","25"
"1936","1L","all","07","金子　裕","16145","L","3","0","2","1","0","0","0","1","2","0","0","0","NA","NA","NA","NA","0.000","34","25","7.00","5","0","0","0","9","0","0","4","1","0","2","2","2.57","","21"
"1936","1L","all","04","山田　勝三郎","16159","L","2","0","0","2","0","0","0","2","0","1","1","0","NA","NA","NA","NA","0.500","33","28","6.00","10","0","1","0","4","0","0","1","0","0","7","7","10.50","","18"
"1936","1L","all","03","加藤　智男","16245","L","4","0","1","2","0","0","0","2","2","0","1","0","NA","NA","NA","NA","0.000","41","29","5.67","13","0","0","0","12","0","0","2","0","0","14","6","9.00","","17"
"1936","1L","all","01","成田　友三郎","16201","L","2","0","1","1","0","0","0","1","1","0","0","0","NA","NA","NA","NA","0.000","24","16","5.00","1","0","1","0","7","0","0","3","0","0","1","1","1.80","","15"
"1936","1L","all","06","伊藤　次郎","16322","L","2","0","0","2","0","0","0","2","0","0","1","0","NA","NA","NA","NA","0.000","23","17","5.00","5","0","0","0","6","0","0","0","0","0","2","2","3.60","","15"
"1936","1L","all","02","村田　重治","16192","L","1","0","0","1","0","0","0","1","0","0","0","0","NA","NA","NA","NA","0.000","15","13","4.00","3","0","0","0","1","0","1","0","0","0","1","1","2.25","","12"
"1936","1L","all","04","丸尾　千年次","16215","R","1","0","0","1","0","0","0","1","0","0","0","0","NA","NA","NA","NA","0.000","22","14","4.00","5","0","3","0","5","0","0","2","0","0","6","4","9.00","","12"
"1936","1L","all","03","牧野　潔","16216","R","1","0","1","0","0","0","0","0","1","0","0","0","NA","NA","NA","NA","0.000","5","3","1.00","0","0","0","0","2","0","0","0","0","0","0","0","0.00","","3"
"1937","1L","春","06","野口　明","169","R","37","23","7","7","3","6","1","30","7","19","7","0","NA","NA","NA","NA","0.731","1048","950","257.00","196","3","12","0","85","0","1","142","2","0","70","45","1.58","","771"
"1937","1L","春","07","古谷　倉之助","444","R","36","20","7","9","2","3","0","29","7","15","13","1","NA","NA","NA","NA","0.536","1090","918","254.67","182","0","20","0","145","0","7","95","5","0","88","61","2.16","","764"
"1937","1L","春","01","沢村　栄治","16191","R","30","24","5","0","3","7","2","24","6","24","4","1","NA","NA","NA","NA","0.857","938","854","244.00","138","2","12","0","68","0","2","196","0","0","47","22","0.81","","732"
"1937","1L","春","21","畑福　俊英","16121","R","32","23","4","5","2","3","1","28","4","7","21","0","NA","NA","NA","NA","0.250","1066","926","239.00","225","6","16","0","119","0","5","96","3","0","138","91","3.43","","717"
"1937","1L","春","05","近藤　久","16234","L","28","13","5","7","1","1","0","20","8","11","10","1","NA","NA","NA","NA","0.524","812","660","183.00","140","3","16","0","133","0","3","91","0","0","84","51","2.51","","549"
"1937","1L","春","04","笠松　実","328","R","27","10","9","5","0","1","0","15","12","7","9","1","NA","NA","NA","NA","0.438","664","556","156.00","121","2","21","0","86","0","1","76","5","1","58","47","2.71","","468"
"1937","1L","春","03","木下　博喜","16072","R","24","7","1","15","0","1","0","22","2","5","11","0","NA","NA","NA","NA","0.313","667","532","149.33","116","0","13","0","119","0","3","53","4","0","72","45","2.71","","448"
"1937","1L","春","01","スタルヒン","222","R","25","10","7","6","0","3","0","16","9","13","4","0","NA","NA","NA","NA","0.765","592","519","147.33","100","1","14","0","58","0","1","92","2","0","34","25","1.53","","442"
"1937","1L","春","03","田中　実","16203","R","36","4","27","2","0","0","0","6","30","9","7","0","NA","NA","NA","NA","0.563","628","550","143.33","139","1","11","0","65","0","2","33","2","1","84","65","4.08","","430"
"1937","1L","春","05","大友　一明","590","R","23","7","4","11","2","0","0","18","5","3","12","2","NA","NA","NA","NA","0.200","646","511","132.33","122","0","16","0","116","0","3","48","3","0","90","48","3.26","","397"
"1937","1L","春","04","石田　光彦","325","R","23","6","8","8","0","1","1","14","9","8","6","1","NA","NA","NA","NA","0.571","526","468","124.33","103","2","11","0","47","0","0","56","2","1","50","39","2.82","","373"
"1937","1L","春","06","浅岡　三郎","16136","R","23","4","11","7","0","1","0","11","12","5","12","0","NA","NA","NA","NA","0.294","542","461","121.00","107","1","7","0","73","0","1","38","2","0","71","57","4.24","","363"
"1937","1L","春","02","西村　幸生","16096","R","19","6","0","12","1","1","0","18","1","9","3","0","NA","NA","NA","NA","0.750","504","445","116.67","101","1","5","0","51","0","3","79","0","0","40","29","2.24","","350"
"1937","1L","春","01","前川　八郎","637","R","20","4","5","12","0","1","0","16","4","4","5","1","NA","NA","NA","NA","0.444","491","430","116.67","102","4","11","0","48","0","2","45","1","0","51","40","3.09","","350"
"1937","1L","春","07","鈴木　鶴雄","16150","R","20","3","3","13","0","2","0","16","4","4","7","0","NA","NA","NA","NA","0.364","519","456","116.00","109","2","8","0","54","0","1","30","1","0","68","47","3.65","","348"
"1937","1L","春","02","御園生　崇男","326","R","18","7","2","8","0","1","0","15","3","8","3","0","NA","NA","NA","NA","0.727","456","417","113.33","95","1","9","0","30","0","0","33","1","0","33","22","1.75","","340"
"1937","1L","春","03","森井　茂","532","R","19","5","1","12","1","0","0","17","2","3","9","0","NA","NA","NA","NA","0.250","513","442","109.33","127","2","12","0","55","0","4","37","4","0","91","60","4.94","","328"
