"1937","1L","1","スタルヒン","222"
"1937","1L","1","前川　八郎","637"
"1937","1L","1","内堀　保","15263"
"1937","1L","1","倉　信雄","16095"
"1937","1L","1","津田　四郎","16085"
"1937","1L","1","伊藤　健太郎","16188"
"1937","1L","1","白石　敏男","215"
"1937","1L","1","筒井　修","16211"
"1937","1L","1","永沢　富士雄","16066"
"1937","1L","1","三原　修","15562"
"1937","1L","1","水原　茂","464"
"1937","1L","1","中島　治康","155"
"1937","1L","1","山本　栄一郎","16065"
"1937","1L","1","呉　波","439"
"1937","1L","1","平山　菊二","15147"
"1937","1L","1","成田　友三郎","16201"
"1937","1L","1","井上　康弘","16229"
"1937","1L","1","田代　須恵雄","16040"
"1937","1L","1","田代　須恵雄","16040"
"1937","1L","2","広田　修三","16144"
"1937","1L","2","門前　真佐人","14900"
"1937","1L","2","岩崎　利夫","16209"
"1937","1L","2","原　一朗","16223"
"1937","1L","2","伊賀上　良平","15023"
"1937","1L","2","岡田　宗芳","16194"
"1937","1L","2","加藤　信夫","16195"
"1937","1L","2","景浦　将","16155"
"1937","1L","2","菊矢　吉男","659"
"1937","1L","2","小島　利男","525"
"1937","1L","2","藤井　勇","458"
"1937","1L","2","藤村　富美男","41"
"1937","1L","2","松木　謙治郎","445"
"1937","1L","2","御園生　崇男","326"
"1937","1L","2","奈良　友夫","16202"
"1937","1L","2","比留木　虎雄","16207"
"1937","1L","2","本堂　保次","64"
"1937","1L","2","皆川　定之","15188"
"1937","1L","2","山口　政信","15260"
"1937","1L","2","上田　正","16147"
"1937","1L","2","玉井　栄","16228"
"1937","1L","2","塚本　博睦","15220"
"1937","1L","2","松広　金一","16171"
"1937","1L","2","若林　忠志","281"
"1937","1L","2","青木　正一","16204"
"1937","1L","2","西村　幸生","16096"
"1937","1L","2","橋本　正吾","16178"
"1937","1L","2","田中　義雄","15573"
"1937","1L","3","木下　博喜","16072"
"1937","1L","3","森井　茂","532"
"1937","1L","3","伊藤　国雄","16226"
"1937","1L","3","田中　実","16203"
"1937","1L","3","岩田　次男","16164"
"1937","1L","3","遠藤　忠二郎","16208"
"1937","1L","3","小阪　三郎","16165"
"1937","1L","3","鈴木　秀雄","651"
"1937","1L","3","芳賀　直一","16124"
"1937","1L","3","石丸　藤吉","15275"
"1937","1L","3","大沢　清","15096"
"1937","1L","3","三浦　敏一","16174"
"1937","1L","3","小島　茂男","16013"
"1937","1L","3","志手　清彦","16177"
"1937","1L","3","鈴木　実","16242"
"1937","1L","3","服部　一男","16227"
"1937","1L","3","前田　喜代士","16110"
"1937","1L","3","桝　嘉一","16079"
"1937","1L","3","石田　政良","653"
"1937","1L","3","岡本　利三","16160"
"1937","1L","3","白木　一二","16163"
"1937","1L","3","高木　茂","15261"
"1937","1L","3","繁里　栄","16049"
"1937","1L","3","西沢　道夫","167"
"1937","1L","3","松尾　幸造","628"
"1937","1L","3","倉本　信護","16125"
"1937","1L","4","山田　勝三郎","16159"
"1937","1L","4","石田　光彦","325"
"1937","1L","4","重松　通雄","520"
"1937","1L","4","丸尾　千年次","16215"
"1937","1L","4","笠松　実","328"
"1937","1L","4","中田　武夫","330"
"1937","1L","4","森　弘太郎","324"
"1937","1L","4","島本　義文","16107"
"1937","1L","4","大原　敏夫","16217"
"1937","1L","4","宇野　錦次","16200"
"1937","1L","4","川村　徳久","16100"
"1937","1L","4","倉本　信護","16125"
"1937","1L","4","黒田　健吾","16076"
"1937","1L","4","宮武　三郎","16075"
"1937","1L","4","山下　実","443"
"1937","1L","4","上田　藤夫","250"
